"filename","date","ID","compound","mean.intensity","mean.ions.incremental","max.tic","mean.it","n.inc.scans","prcnt.below.10.max","prcnt.below.background","prcnt.outlier"
"mixed.Cyano_Phytane_1","24/07/2019","MEP","C6H13",780937.656650873,7075.29715004545,10403943,88.8563170371446,13783,29.9644489588624,0.0169499733643252,4.19390769528792
"mixed.Cyano_Phytane_2","25/07/2019","MEP","C6H13",611635.497382082,6965.99585225434,8244683.5,109.402929190436,13752,29.9520069808028,0.007282437188984,4.4228668527734
"mixed.Cyano_Phytane_3","26/07/2019","MEP","C6H13",533255.173962413,6869.84510561593,7324991.5,124.1246932312,13601,29.9316226748033,0.05401291399671,4.23264835137856
"mixed.Halo_Phytane_1","24/07/2019","MVA","C6H13",183167.360228735,4655.95640983667,2930407.5,211.523176342733,12088,28.921244209133,16.8592346851228,4.40713836298117
"mixed.Halo_Phytane_2","25/07/2019","MVA","C6H13",167873.279291777,4753.16559399625,2603935.5,234.330431691047,11505,29.0482398956975,9.19261718866847,4.94480839989231
"mixed.Halo_Phytane_3","26/07/2019","MVA","C6H13",160246.435495605,4756.25024995439,2469531.8,245.356382963669,11213,28.9842147507358,11.5452056480144,4.39597625126896
"mixed.Std_Phytane_1","24/07/2019","syn","C6H13",385387.485281025,6074.26884982133,5256768,143.3213623239,13432,29.8466349017272,0,4.35855878319411
"mixed.Std_Phytane_2","25/07/2019","syn","C6H13",306127.824527298,6122.68901954097,4131489.5,179.80806665961,12665,29.8302408211607,0.0449866363227304,4.4854322686496
"mixed.Std_Phytane_3","26/07/2019","syn","C6H13",308341.912340958,6178.3852969105,4142175.5,177.304170496878,12761,29.8722670637097,11.3201112335379,4.39162600346293
